Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Production (tonnes)
26,52,38,Sandy,Maize,37,0,0,Urea,37660000
29,52,45,Loamy,Sugarcane,12,0,36,DAP,4.53E+08
34,65,62,Black,Cotton,7,9,30,14-35-14,4590000
32,62,34,Red,Tobacco,22,0,20,28-28,804454
28,54,46,Clayey,Paddy,35,0,0,Urea,22600
26,52,35,Sandy,Barley,12,10,13,17-17-17,1690000
25,50,64,Red,Cotton,9,0,10,20-20,4590000
33,64,50,Loamy,Wheat,41,0,0,Urea,1.13E+08
30,60,42,Sandy,Millets,21,0,18,28-28,11570000
29,58,33,Black,Oil seeds,9,7,30,14-35-14,39669000
27,54,28,Clayey,Pulses,13,0,40,DAP,24240000
31,62,48,Sandy,Maize,14,15,12,17-17-17,37660000
25,50,65,Loamy,Cotton,36,0,0,Urea,4590000
32,62,41,Clayey,Paddy,24,0,22,28-28,22600
26,52,31,Red,Ground Nuts,14,0,41,DAP,10180000
31,62,49,Black,Sugarcane,10,13,14,17-17-17,4.53E+08
33,64,34,Clayey,Pulses,38,0,0,Urea,24240000
25,50,39,Sandy,Barley,21,0,19,28-28,1690000
28,54,65,Black,Cotton,39,0,0,Urea,4590000
29,58,52,Loamy,Wheat,13,0,36,DAP,1.13E+08
30,60,44,Sandy,Millets,10,0,9,20-20,11570000
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17,4.53E+08
35,68,33,Red,Tobacco,11,0,37,DAP,804454
28,54,37,Black,Millets,36,0,0,Urea,11570000
33,64,39,Clayey,Paddy,13,0,10,20-20,22600
26,52,44,Sandy,Maize,23,0,20,28-28,37660000
30,60,63,Red,Cotton,9,9,29,14-35-14,4590000
32,62,30,Loamy,Sugarcane,38,0,0,Urea,4.53E+08
37,70,32,Black,Oil seeds,12,0,39,DAP,39669000
26,52,36,Clayey,Pulses,14,0,13,20-20,24240000
29,58,40,Red,Ground Nuts,24,0,23,28-28,10180000
30,60,27,Loamy,Sugarcane,12,0,40,DAP,4.53E+08
34,65,38,Clayey,Paddy,39,0,0,Urea,22600
36,68,38,Sandy,Barley,7,9,30,14-35-14,1690000
26,52,48,Loamy,Wheat,23,0,19,28-28,1.13E+08
28,54,35,Black,Millets,41,0,0,Urea,11570000
30,60,61,Loamy,Cotton,8,10,31,14-35-14,4590000
37,70,37,Clayey,Paddy,12,0,41,DAP,22600
25,50,26,Red,Ground Nuts,15,14,11,17-17-17,10180000
29,58,34,Sandy,Millets,15,0,37,DAP,11570000
27,54,30,Clayey,Pulses,13,0,13,20-20,24240000
30,60,58,Loamy,Sugarcane,10,7,32,14-35-14,4.53E+08
32,62,34,Red,Tobacco,22,0,24,28-28,804454
34,65,60,Black,Sugarcane,35,0,0,Urea,4.53E+08
35,67,42,Sandy,Barley,10,0,35,DAP,1690000
38,70,48,Loamy,Wheat,8,8,28,14-35-14,1.13E+08
26,52,32,Black,Oil seeds,12,0,8,20-20,39669000
29,58,43,Clayey,Paddy,24,0,18,28-28,22600
30,60,29,Red,Ground Nuts,41,0,0,Urea,10180000
33,64,51,Sandy,Maize,5,9,29,14-35-14,37660000
34,65,31,Red,Tobacco,23,0,21,28-28,804454
36,68,33,Black,Oil seeds,13,0,14,20-20,39669000
28,54,38,Clayey,Pulses,40,0,0,Urea,24240000
30,60,47,Sandy,Barley,12,0,42,DAP,1690000
31,62,63,Red,Cotton,11,12,15,17-17-17,4590000
27,53,43,Black,Millets,23,0,24,28-28,11570000
34,65,54,Loamy,Wheat,38,0,0,Urea,1.13E+08
29,58,37,Sandy,Millets,8,0,15,20-20,11570000
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17,4.53E+08
32,62,34,Red,Ground Nuts,15,0,37,DAP,10180000
28,54,41,Clayey,Paddy,36,0,0,Urea,22600
30,60,49,Loamy,Wheat,13,0,9,20-20,1.13E+08
34,65,64,Black,Cotton,24,0,20,28-28,4590000
28,54,47,Sandy,Barley,5,18,15,10-26-26,1690000
27,53,35,Black,Oil seeds,37,0,0,Urea,39669000
36,68,62,Red,Cotton,15,0,40,DAP,4590000
34,65,57,Black,Sugarcane,9,0,13,20-20,4.53E+08
29,58,55,Loamy,Sugarcane,8,8,33,14-35-14,4.53E+08
25,50,40,Clayey,Pulses,6,19,16,10-26-26,24240000
30,60,38,Sandy,Millets,10,0,14,20-20,11570000
26,52,39,Clayey,Pulses,21,0,23,28-28,24240000
31,62,32,Red,Tobacco,39,0,0,Urea,804454
34,65,48,Loamy,Wheat,23,0,19,28-28,1.13E+08
27,53,34,Black,Oil seeds,42,0,0,Urea,39669000
33,64,31,Red,Ground Nuts,13,0,39,DAP,10180000
29,58,42,Clayey,Paddy,9,10,22,14-35-14,22600
30,60,47,Sandy,Maize,22,0,21,28-28,37660000
27,53,59,Loamy,Sugarcane,10,0,15,20-20,4.53E+08
26,52,36,Clayey,Pulses,7,16,20,10-26-26,24240000
34,65,63,Red,Cotton,14,0,38,DAP,4590000
28,54,43,Clayey,Paddy,10,8,29,14-35-14,22600
30,60,40,Sandy,Millets,41,0,0,Urea,11570000
29,58,65,Black,Cotton,14,0,35,DAP,4590000
26,52,59,Loamy,Sugarcane,11,0,9,20-20,4.53E+08
31,62,44,Sandy,Barley,21,0,28,28-28,1690000
35,67,28,Clayey,Pulses,8,7,31,14-35-14,24240000
29,58,30,Red,Tobacco,13,17,16,10-26-26,804454
27,53,30,Black,Millets,35,0,0,Urea,11570000
36,68,50,Loamy,Wheat,12,18,19,10-26-26,1.13E+08
29,58,61,Loamy,Cotton,11,0,38,DAP,4590000
30,60,26,Black,Oil seeds,8,9,30,14-35-14,39669000
34,65,45,Clayey,Paddy,6,19,21,10-26-26,22600
36,68,41,Red,Ground Nuts,41,0,0,Urea,10180000
28,54,25,Sandy,Maize,9,10,30,14-35-14,37660000
25,50,32,Clayey,Pulses,24,0,19,28-28,24240000
30,60,27,Red,Tobacco,4,17,17,10-26-26,804454
38,72,51,Loamy,Wheat,39,0,0,Urea,1.13E+08
36,60,43,Sandy,Millets,15,0,41,DAP,11570000
29,58,57,Black,Sugarcane,12,0,10,20-20,4.53E+08
27.58,59.21,31.27,Loamy,Cotton,20,2,15,DAP,4590000
27.45,66.38,50.14,Black,Millets,9,12,14,28-28,11570000
27.25,63.62,40.35,Black,Wheat,28,0,22,Urea,1.13E+08
28.84,58.91,33.06,Clayey,Millets,8,9,28,17-17-17,11570000
25.86,48.46,46.25,Red,Ground Nuts,40,2,0,28-28,10180000
25.59,63.6,46.33,Clayey,Cotton,11,0,11,28-28,4590000
29.17,68.19,30.65,Sandy,Oil seeds,6,4,14,Urea,39669000
36.05,73.59,58.17,Red,Millets,9,14,11,17-17-17,11570000
26.76,64.22,53.63,Sandy,Ground Nuts,5,8,30,28-28,10180000
27.66,53.58,40.96,Red,Cotton,41,0,3,20-20,4590000
28.27,52.88,43.3,Black,Wheat,40,0,0,10-26-26,1.13E+08
38.39,69.51,65.09,Clayey,Oil seeds,8,1,16,Urea,39669000
28.74,56.8,54.07,Loamy,Cotton,15,0,35,DAP,4590000
30.63,63.88,38.71,Loamy,Paddy,19,4,28,DAP,22600
26.02,52.46,31.12,Loamy,Barley,11,5,12,10-26-26,1690000
34.71,64.94,52.62,Sandy,Oil seeds,9,22,21,14-35-14,39669000
23.71,51.25,30.5,Black,Oil seeds,11,0,8,17-17-17,39669000
30.63,61.45,23.18,Black,Maize,37,2,4,17-17-17,37660000
23.63,52.62,31.03,Clayey,Sugarcane,12,13,13,14-35-14,4.53E+08
27.65,58.09,69.07,Clayey,Oil seeds,16,3,32,10-26-26,39669000
31.19,60.94,30.51,Black,Paddy,12,0,36,Urea,22600
37.12,72.87,47.06,Sandy,Tobacco,45,2,0,Urea,804454
33.52,60.46,47.85,Black,Pulses,7,15,16,DAP,24240000
29.44,59.34,55.51,Loamy,Sugarcane,10,3,31,17-17-17,4.53E+08
33.24,69.48,65.48,Clayey,Cotton,8,13,28,10-26-26,4590000
20.85,53.18,43.77,Loamy,Tobacco,2,20,19,Urea,804454
38.42,73.97,50.41,Loamy,Sugarcane,11,1,36,DAP,4.53E+08
29.04,71.09,21.12,Sandy,Maize,34,0,3,14-35-14,37660000
23.59,55.82,62.92,Red,Sugarcane,39,0,0,Urea,4.53E+08
38.56,73.46,30.62,Black,Pulses,11,0,32,28-28,24240000
30.87,63.94,46.2,Sandy,Cotton,15,0,8,Urea,4590000
25.83,51.1,59.57,Sandy,Maize,38,4,0,Urea,37660000
34.51,63.92,70,Loamy,Sugarcane,14,0,35,17-17-17,4.53E+08
31.92,62.59,27.78,Sandy,Pulses,18,0,25,DAP,24240000
28.43,58.72,43.9,Sandy,Sugarcane,13,16,11,20-20,4.53E+08
27.53,55.04,57.07,Sandy,Pulses,4,0,14,28-28,24240000
24.53,67.4,48.49,Red,Paddy,8,9,18,20-20,22600
30.82,51.91,54.23,Red,Wheat,15,4,33,14-35-14,1.13E+08
32.53,59.45,20.16,Loamy,Cotton,9,15,16,17-17-17,4590000
28.17,58.69,34.11,Sandy,Cotton,12,8,33,20-20,4590000
29.25,54.52,41.4,Clayey,Paddy,35,0,0,28-28,22600
22.26,51.36,48.36,Loamy,Tobacco,6,16,17,Urea,804454
30.76,66.64,56.32,Red,Ground Nuts,41,3,4,28-28,10180000
27.84,66.53,36.89,Loamy,Sugarcane,7,11,20,Urea,4.53E+08
29.21,64.21,54.95,Red,Wheat,7,11,31,14-35-14,1.13E+08
26.01,59.52,35.75,Loamy,Pulses,11,13,15,28-28,24240000
29.5,55.42,51.17,Red,Cotton,23,0,23,10-26-26,4590000
32.98,62.02,33.12,Red,Wheat,40,0,0,10-26-26,1.13E+08
24.24,59.04,50.07,Loamy,Barley,38,0,1,Urea,1690000
33.54,59.28,52.09,Clayey,Wheat,21,3,20,20-20,1.13E+08
34.43,72.28,62.22,Clayey,Ground Nuts,35,4,0,17-17-17,10180000
32.19,68.94,67.37,Sandy,Barley,15,0,33,20-20,1690000
32.55,71.46,67.14,Clayey,Oil seeds,5,7,32,20-20,39669000
28.38,52.02,43.83,Loamy,Wheat,13,0,38,10-26-26,1.13E+08
25.4,43.57,38.51,Red,Maize,36,0,0,28-28,37660000
33.8,52.28,53.31,Clayey,Millets,12,15,15,28-28,11570000
28.38,47.58,34.86,Black,Paddy,20,0,20,28-28,22600
28.37,59.8,35.35,Black,Oil seeds,23,2,16,17-17-17,39669000
30.08,73.84,41.22,Sandy,Sugarcane,1,14,22,10-26-26,4.53E+08
34.95,64.93,62.63,Clayey,Wheat,31,1,0,14-35-14,1.13E+08
35.56,74.88,52.16,Clayey,Cotton,20,0,21,14-35-14,4590000
24.05,52.76,58.9,Sandy,Oil seeds,7,1,7,DAP,39669000
23.42,53.65,69.68,Sandy,Barley,11,3,14,20-20,1690000
31.68,62.14,42.55,Black,Sugarcane,17,0,31,17-17-17,4.53E+08
31.03,69,49.46,Loamy,Maize,19,0,19,20-20,37660000
31.78,44.27,45.07,Loamy,Maize,5,8,32,DAP,37660000
22.3,60.64,40.78,Sandy,Ground Nuts,39,0,2,28-28,10180000
26.39,52.62,22.27,Sandy,Cotton,8,1,43,17-17-17,4590000
29.36,64.39,20,Red,Tobacco,13,4,39,10-26-26,804454
26.67,47.94,34.08,Black,Sugarcane,13,0,8,DAP,4.53E+08
26.75,56.87,20,Clayey,Barley,12,6,30,17-17-17,1690000
30.64,65.77,32.86,Clayey,Sugarcane,24,0,17,17-17-17,4.53E+08
29.89,48.59,38,Clayey,Pulses,26,0,21,28-28,24240000
28.61,62.22,41.53,Loamy,Ground Nuts,8,13,18,Urea,10180000
37.09,63.72,47.99,Red,Sugarcane,39,2,0,17-17-17,4.53E+08
21.78,55.6,33.66,Loamy,Maize,37,3,0,10-26-26,37660000
30.42,70.37,55.92,Red,Wheat,2,5,25,17-17-17,1.13E+08
35.39,52.28,42.97,Sandy,Pulses,10,17,12,10-26-26,24240000
30.53,52.17,41.92,Black,Oil seeds,3,15,15,Urea,39669000
28.09,56.62,36.14,Loamy,Ground Nuts,10,0,34,20-20,10180000
22.95,55.86,31.58,Black,Paddy,16,3,22,28-28,22600
32.06,75.56,55.73,Sandy,Tobacco,18,1,38,17-17-17,804454
38.4,67.88,62.06,Clayey,Maize,11,11,16,28-28,37660000
33.59,66.16,69.67,Sandy,Pulses,12,13,27,20-20,24240000
26.47,62.91,46.87,Sandy,Ground Nuts,10,4,11,28-28,10180000
31.56,58.25,29.12,Loamy,Oil seeds,13,21,14,14-35-14,39669000
